City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Ostersund,SE,2021-08-07 01:03:31,63.1792,14.6357,54.61,87,100,12.66
153,Alta Floresta,BR,2021-08-07 01:03:31,-9.8756,-56.0861,75.92,35,17,3.98
154,Copiapo,CL,2021-08-07 01:03:32,-27.3667,-70.3333,57.67,72,0,2.57
155,Labuhan,ID,2021-08-07 01:03:32,-6.8844,112.2051,83.48,69,42,13.51
156,Olga,RU,2021-08-07 01:03:32,43.7444,135.2892,83.64,65,91,5.95
157,Jumla,NP,2021-08-07 01:03:33,29.2747,82.1838,62.83,95,100,0.65
158,Sembe,CG,2021-08-07 01:03:33,1.6481,14.5806,71.29,98,100,2.21
159,Zhangjiakou,CN,2021-08-07 01:03:33,40.81,114.8794,76.15,38,61,0.16
160,Sambava,MG,2021-08-07 01:03:34,-14.2667,50.1667,64.96,88,4,8.57
161,Carbondale,US,2021-08-07 01:03:34,37.7273,-89.2168,81.39,70,1,4.61
162,Rudbar,AF,2021-08-07 01:03:34,30.15,62.6,83.88,20,0,12.62
163,Zhumadian,CN,2021-08-07 01:03:35,32.9794,114.0294,82.76,80,100,6.76
164,Uray,RU,2021-08-07 01:03:35,60.1247,64.7758,56.25,98,100,7.31
165,Manokwari,ID,2021-08-07 01:01:21,-0.8667,134.0833,82.24,71,100,0.31
166,Aklavik,CA,2021-08-07 01:02:10,68.2191,-135.0107,45.32,67,100,15.88
167,Noumea,NC,2021-08-07 01:02:37,-22.2763,166.4572,73.38,99,89,10.65
168,San Juan,AR,2021-08-07 01:01:14,-31.5375,-68.5364,63.59,30,6,1.36
169,Kaitangata,NZ,2021-08-07 01:03:36,-46.2817,169.8464,42.93,76,100,11.97
170,Georgetown,MY,2021-08-07 01:03:36,5.4112,100.3354,82.89,82,20,3.44
171,Pouebo,NC,2021-08-07 01:03:36,-20.4,164.5667,73.89,48,99,6.02
172,Arman,RU,2021-08-07 01:03:37,59.7,150.1667,63.9,47,6,10.56
173,Ulaanbaatar,MN,2021-08-07 01:03:37,47.9077,106.8832,62.73,67,0,2.24
174,Dubai,AE,2021-08-07 01:00:53,25.2582,55.3047,94.21,62,0,3.24
175,Sabang,ID,2021-08-07 01:03:38,5.8933,95.3214,82.76,75,77,13.96
176,Honningsvag,NO,2021-08-07 01:03:38,70.9821,25.9704,53.46,83,99,10.36
177,Upernavik,GL,2021-08-07 01:03:38,72.7868,-56.1549,42.69,89,100,7.29
178,Sorland,NO,2021-08-07 01:03:39,67.667,12.6934,56.57,74,95,5.97
179,Katsuura,JP,2021-08-07 01:03:40,35.1333,140.3,87.91,83,100,9.01
180,La Primavera,CO,2021-08-07 01:03:41,5.4906,-70.4092,74.21,85,9,3.4
181,Yangambi,CD,2021-08-07 01:03:41,0.8102,24.4336,68.29,97,100,1.9
182,Heihe,CN,2021-08-07 01:03:41,50.2441,127.4902,75.78,75,8,3.06
183,Trairi,BR,2021-08-07 01:01:28,-3.2778,-39.2689,79.93,71,93,13.47
184,Ilulissat,GL,2021-08-07 01:03:42,69.2167,-51.1,44.62,76,20,3.44
185,Sinnamary,GF,2021-08-07 01:03:42,5.3833,-52.95,77.16,85,72,4.59
186,Tura,IN,2021-08-07 01:03:42,25.5198,90.2201,75.52,96,99,6.38
187,Port Elizabeth,ZA,2021-08-07 01:03:43,-33.918,25.5701,49.1,86,0,2.33
188,Gravelbourg,CA,2021-08-07 01:03:43,49.8834,-106.5512,88.12,27,30,14.7
189,Lozova,UA,2021-08-07 01:03:43,48.8894,36.3176,67.64,70,56,9.51
190,Margate,GB,2021-08-07 01:03:44,51.3813,1.3862,59.31,83,18,4.0
191,Bathsheba,BB,2021-08-07 01:03:44,13.2167,-59.5167,81.27,71,5,15.03
192,Bella Union,UY,2021-08-07 01:03:44,-30.2752,-57.6007,62.46,79,0,8.14
193,Thompson,CA,2021-08-07 01:03:45,55.7435,-97.8558,68.31,53,19,7.29
194,Eureka,US,2021-08-07 01:03:45,40.8021,-124.1637,73.36,78,74,5.99
195,Hambantota,LK,2021-08-07 01:03:46,6.1241,81.1185,79.14,94,20,11.5
196,Coquimbo,CL,2021-08-07 01:03:46,-29.9533,-71.3436,54.3,87,99,5.79
197,Porbandar,IN,2021-08-07 01:03:46,21.6422,69.6093,81.72,82,100,10.33
198,Bosaso,SO,2021-08-07 01:02:53,11.2842,49.1816,90.81,38,10,17.87
199,Half Moon Bay,US,2021-08-07 01:03:15,37.4636,-122.4286,93.4,81,40,14.97
200,Puerto Ayora,EC,2021-08-07 01:02:18,-0.7393,-90.3518,70.56,89,64,7.0
201,Brae,GB,2021-08-07 01:03:47,60.3964,-1.353,58.91,89,100,23.15
202,Khatanga,RU,2021-08-07 01:03:47,71.9667,102.5,58.3,52,0,12.19
203,Micheweni,TZ,2021-08-07 01:03:47,-4.9667,39.8333,73.45,82,3,11.74
204,Finschhafen,PG,2021-08-07 01:03:48,-6.6024,147.8681,81.54,75,88,13.27
205,Sassandra,CI,2021-08-07 01:03:48,4.95,-6.0833,73.24,91,19,5.55
206,Henties Bay,NA,2021-08-07 01:03:49,-22.116,14.2845,53.85,77,0,4.34
207,Port Alfred,ZA,2021-08-07 01:03:49,-33.5906,26.891,55.74,83,0,3.47
208,Shimoda,JP,2021-08-07 01:03:49,34.6667,138.95,79.16,79,100,12.35
209,Vilyuysk,RU,2021-08-07 01:03:50,63.7553,121.6247,69.84,45,100,14.76
210,Kavieng,PG,2021-08-07 01:03:50,-2.5744,150.7967,86.09,66,11,13.85
211,Aden,YE,2021-08-07 01:00:02,12.7794,45.0367,82.29,83,6,3.67
212,Blagoyevo,RU,2021-08-07 01:03:50,63.3667,47.9167,45.32,83,84,2.64
213,Benemerito De Las Americas,MX,2021-08-07 01:03:51,16.5167,-90.6439,73.63,99,100,3.47
214,Aksarka,RU,2021-08-07 01:03:51,66.5606,67.7975,65.12,63,93,4.41
215,Saint George,US,2021-08-07 00:58:58,37.1041,-113.5841,104.47,7,0,4.0
216,Tessalit,ML,2021-08-07 01:03:52,20.1986,1.0114,76.53,64,100,7.76
217,Tiksi,RU,2021-08-07 01:03:52,71.6872,128.8694,45.63,82,17,3.13
218,Nanortalik,GL,2021-08-07 01:03:52,60.1432,-45.2371,45.05,77,100,10.31
219,Estelle,US,2021-08-07 01:01:05,29.8458,-90.1067,84.99,65,69,1.99
220,Maamba,ZM,2021-08-07 01:03:53,-17.3667,27.15,59.22,32,0,2.95
221,Ankazobe,MG,2021-08-07 01:03:53,-18.3167,47.1167,48.61,89,51,5.03
222,Rabo De Peixe,PT,2021-08-07 01:03:53,37.8,-25.5833,67.51,73,20,6.91
223,Asau,RO,2021-08-07 01:03:54,46.4333,26.4,58.12,82,1,4.83
224,Ortakoy,TR,2021-08-07 01:03:54,38.7373,34.0387,70.05,32,100,1.54
225,Khromtau,KZ,2021-08-07 01:03:54,50.2503,58.4347,63.88,73,6,13.0
226,Cidreira,BR,2021-08-07 01:03:55,-30.1811,-50.2056,60.42,94,100,16.82
227,Gweta,BW,2021-08-07 01:03:55,-20.1833,25.2333,58.89,26,0,7.4
228,Magadan,RU,2021-08-07 01:03:55,59.5667,150.8,61.45,53,7,9.31
229,Bambous Virieux,MU,2021-08-07 01:03:56,-20.3428,57.7575,66.22,78,51,12.08
230,Airai,TL,2021-08-07 01:03:56,-8.9266,125.4092,68.11,42,94,4.85
231,Dingle,PH,2021-08-07 01:03:56,10.9995,122.6711,85.71,68,100,10.65
232,Santa Rosa,PH,2021-08-07 01:01:31,14.3122,121.1114,88.09,71,100,11.18
233,Savalou,BJ,2021-08-07 01:03:57,7.9281,1.9756,72.5,94,98,4.32
234,Saint-Georges,GD,2021-08-07 01:03:57,12.0564,-61.7485,79.72,80,67,8.99
235,Yashan,CN,2021-08-07 01:03:57,22.1975,109.9419,79.39,91,100,2.04
236,Rovaniemi,FI,2021-08-07 01:01:54,66.5,25.7167,58.41,58,0,5.75
237,Kavaratti,IN,2021-08-07 01:03:58,10.5669,72.642,81.93,80,91,22.5
238,Mackay,AU,2021-08-07 01:03:58,-21.15,149.2,74.68,68,20,14.56
239,Chilca,PE,2021-08-07 01:03:59,-12.5211,-76.7372,61.84,87,92,8.12
240,Vila Franca Do Campo,PT,2021-08-07 01:03:59,37.7167,-25.4333,68.41,70,65,8.39
241,Bogashevo,RU,2021-08-07 01:03:59,56.3683,85.1447,61.05,100,75,4.47
242,Indramayu,ID,2021-08-07 01:04:00,-6.3264,108.32,83.44,71,60,10.51
243,Burnie,AU,2021-08-07 01:04:00,-41.0667,145.9167,53.74,69,51,14.2
244,Kostino,RU,2021-08-07 01:04:00,58.9097,53.2691,48.2,87,92,1.68
245,Tiarei,PF,2021-08-07 01:04:01,-17.5333,-149.3333,84.22,68,7,2.46
246,Cedar City,US,2021-08-07 01:04:01,37.6775,-113.0619,86.97,7,1,17.27
247,Shakiso,ET,2021-08-07 01:04:01,5.75,38.9167,55.27,91,99,1.1
248,Thinadhoo,MV,2021-08-07 01:04:02,0.5333,72.9333,81.36,72,100,10.96
249,Sioux Lookout,CA,2021-08-07 01:04:02,50.1001,-91.917,64.27,54,100,3.09
250,Zhukovka,RU,2021-08-07 01:04:03,53.534,33.728,66.47,97,100,7.07
251,Sonoita,MX,2021-08-07 01:01:46,31.85,-112.8333,99.54,39,66,15.03
252,Tuatapere,NZ,2021-08-07 01:04:03,-46.1333,167.6833,44.96,77,95,14.16
253,Sergeyevka,KZ,2021-08-07 01:04:03,53.88,67.4158,63.1,91,100,9.66
254,Nanakuli,US,2021-08-07 01:04:04,21.3906,-158.1547,91.35,44,1,9.22
255,Nargana,PA,2021-08-07 01:04:04,9.4428,-78.5906,80.89,82,100,6.67
256,Norman Wells,CA,2021-08-07 01:04:04,65.282,-126.8329,51.84,82,90,17.27
257,Halifax,CA,2021-08-07 01:00:00,44.6453,-63.5724,69.48,93,100,1.99
258,Guanica,PR,2021-08-07 01:04:05,17.9716,-66.908,84.02,81,0,4.0
259,Port Blair,IN,2021-08-07 01:04:05,11.6667,92.75,82.44,82,100,18.3
260,Juruti,BR,2021-08-07 01:00:05,-2.1522,-56.0922,79.39,71,41,1.72
261,Matagami,CA,2021-08-07 01:02:35,49.7502,-77.6328,51.46,98,100,9.15
262,Tacub,PH,2021-08-07 01:04:06,8.1875,124.1081,88.97,64,97,6.11
263,Pisco,PE,2021-08-07 01:04:06,-13.7,-76.2167,61.02,89,2,0.47
264,Srednekolymsk,RU,2021-08-07 01:04:06,67.45,153.6833,48.42,79,100,9.82
265,Gumdag,TM,2021-08-07 01:04:07,39.2061,54.5906,87.1,20,0,7.27
266,Baykalsk,RU,2021-08-07 01:04:07,51.5058,104.1469,57.7,89,100,6.8
267,Bilibino,RU,2021-08-07 01:04:07,68.0546,166.4372,64.13,38,0,16.2
