City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Vestmannaeyjar,IS,63.4427,-20.2734,56.39,88,90,9.22,overcast clouds
180,Kitoy,RU,52.6,103.9,58.08,95,100,3.22,overcast clouds
181,Chebsara,RU,59.2002,38.8356,58.33,80,12,13.62,few clouds
182,Sterling,US,39.0062,-77.4286,99.59,49,75,1.99,broken clouds
183,Haljala,EE,59.4336,26.2614,60.8,79,100,6.82,overcast clouds
184,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,83,75,13.8,light intensity drizzle
185,Jumla,NP,29.2747,82.1838,62.91,94,100,0.63,overcast clouds
186,Muroto,JP,33.2833,134.15,79.83,91,100,25.5,light rain
187,Usinsk,RU,65.9939,57.5281,61.29,76,100,12.21,overcast clouds
188,Makakilo City,US,21.3469,-158.0858,80.92,70,1,3.44,clear sky
189,Darnah,LY,32.767,22.6367,79.83,72,0,7.78,clear sky
190,Kailua,US,21.4022,-157.7394,82.38,73,75,13.8,broken clouds
191,Batagay,RU,67.6333,134.6333,58.59,57,100,5.28,overcast clouds
192,Leningradskiy,RU,69.3833,178.4167,41.18,94,100,1.92,overcast clouds
193,Netarhat,IN,23.4833,84.2667,69.55,87,100,3.09,overcast clouds
194,Kazanskaya,RU,45.4106,40.4361,70.3,89,100,5.35,overcast clouds
195,Cherskiy,RU,68.75,161.3,51.44,96,100,9.62,light rain
196,Choma,ZM,-16.8065,26.9531,62.92,31,0,4.36,clear sky
197,Prattville,US,32.464,-86.4597,91.78,59,1,0,clear sky
198,Shibata,JP,37.95,139.3333,71.08,92,100,2.48,overcast clouds
199,Esperance,AU,-33.8667,121.9,40.84,50,42,11.12,scattered clouds
200,Georgetown,MY,5.4112,100.3354,78.89,92,20,3.44,few clouds
201,Umm Lajj,SA,25.0213,37.2685,91.09,46,0,8.57,clear sky
202,Tuatapere,NZ,-46.1333,167.6833,41.83,80,87,16.73,overcast clouds
203,Ambon,ID,-3.6954,128.1814,77.14,94,40,3.44,scattered clouds
204,Jalu,LY,29.0331,21.5482,93.96,23,0,14.09,clear sky
205,Poum,NC,-20.2333,164.0167,69.06,62,10,12.46,clear sky
206,Oussouye,SN,12.485,-16.5469,87.98,81,100,5.57,overcast clouds
207,Olkhovka,RU,53.2115,60.6069,58.87,50,8,2.15,clear sky
208,San Antonio,US,29.4241,-98.4936,95.43,55,20,1.01,few clouds
209,Fairbanks,US,64.8378,-147.7164,56.01,85,75,3,light rain
210,Maxixe,MZ,-23.8597,35.3472,69.62,68,75,18.41,broken clouds
211,Victoria,HK,22.2855,114.1577,85.32,87,100,1.01,overcast clouds
212,Wenatchee,US,47.4235,-120.3103,93.42,36,90,6.91,haze
213,Takoradi,GH,4.8845,-1.7554,76.78,76,100,10.04,overcast clouds
214,Lavrentiya,RU,65.5833,-171,44.26,77,100,7.94,overcast clouds
215,Husavik,IS,66.0449,-17.3389,55.31,80,100,7.83,overcast clouds
216,Kenai,US,60.5544,-151.2583,58.14,81,40,4.61,scattered clouds
217,Mayo,US,38.8876,-76.5119,100.2,64,25,1.99,scattered clouds
218,Paka,MY,4.6374,103.4368,78.73,94,100,0,overcast clouds
219,Mahebourg,MU,-20.4081,57.7,68.25,88,20,6.91,few clouds
220,Zhigansk,RU,66.7697,123.3711,49.64,91,100,15.12,overcast clouds
221,Sinnamary,GF,5.3833,-52.95,81.86,81,58,10.67,broken clouds
