City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
96,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
98,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
99,Amilly,FR,80.06,overcast clouds,47.9728,2.7719,Hôtel Kyriad Montargis Amilly
102,Namuac,PH,77.7,light rain,18.6109,121.1657,Mlin Hotel
103,Tautira,PF,80.62,overcast clouds,-17.7333,-149.15,Pension Oaoa
104,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
106,Celestun,MX,87.71,broken clouds,20.8667,-90.4,Posada Lilia
109,Torbay,CA,71.28,broken clouds,47.6666,-52.7314,Gallows Cove
115,Bayeux,BR,83.03,few clouds,-7.125,-34.9322,Infinity Motel
117,Faanui,PF,78.82,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
119,Hithadhoo,MV,82.24,overcast clouds,-0.6,73.0833,Scoop Guest House
120,Minot,US,79.79,broken clouds,48.2325,-101.2963,Noble Inn
121,Banga,PH,73.83,overcast clouds,6.4239,124.7783,Fortune Field Resort
123,Butaritari,KI,81.97,light rain,3.0707,172.7902,Isles Sunset Lodge
124,Saint-Philippe,RE,71.15,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
125,Kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
126,Guerrero Negro,MX,84.79,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
128,Dingle,PH,76.6,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
131,Da Nang,VN,86.05,scattered clouds,16.0678,108.2208,Sun River Hotel
138,Alyangula,AU,73.27,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
143,Vila Franca Do Campo,PT,75.61,few clouds,37.7167,-25.4333,Pestana Bahia Praia
148,Cockburn Town,TC,83.12,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
154,Tura,IN,74.66,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
157,Natal,BR,81.25,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
159,Nogales,MX,83.71,clear sky,31.3086,-110.9422,Hotel Marqués De Cima
160,Nouadhibou,MR,75.18,sand,20.931,-17.0347,El Medina
165,Rocky Mountain House,CA,82.15,clear sky,52.3668,-114.9188,Walking Eagle Inn & Lodge
167,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
